path,label
/home/Downloads/Calorie_Estimation/Data/vegies_n_fruits/Apple/3 (116).jpg,0
/home/prathamesh/Downloads/Calorie_Estimation/Data/vegies_n_fruits/Apple/2 (24).jpg,0
/home/prathamesh/Downloads/Calorie_Estimation/Data/vegies_n_fruits/Apple/1 (51).jpg,0
/home/prathamesh/Downloads/Calorie_Estimation/Data/vegies_n_fruits/Apple/3 (32).jpg,0
/home/prathamesh/Downloads/Calorie_Estimation/Data/vegies_n_fruits/Apple/1 (83).jpg,0
/home/prathamesh/Downloads/Calorie_Estimation/Data/vegies_n_fruits/Apple/apple 6.jpg,0
/home/prathamesh/Downloads/Calorie_Estimation/Data/vegies_n_fruits/Apple/4 (46).jpg,0
/home/prathamesh/Downloads/Calorie_Estimation/Data/vegies_n_fruits/Apple/4 (30).jpg,0
/home/prathamesh/Downloads/Calorie_Estimation/Data/vegies_n_fruits/Apple/4 (25).jpg,0
/home/prathamesh/Downloads/Calorie_Estimation/Data/vegies_n_fruits/Apple/2 (30).jpg,0
/home/prathamesh/Downloads/Calorie_Estimation/Data/vegies_n_fruits/Apple/4 (18).jpg,0
/home/prathamesh/Downloads/Calorie_Estimation/Data/vegies_n_fruits/Apple/3 (23).jpg,0
/home/prathamesh/Downloads/Calorie_Estimation/Data/vegies_n_fruits/Apple/6 (2).JPG,0
/home/prathamesh/Downloads/Calorie_Estimation/Data/vegies_n_fruits/Apple/4 (35).jpg,0
/home/prathamesh/Downloads/Calorie_Estimation/Data/vegies_n_fruits/Apple/3 (7).jpg,0
/home/prathamesh/Downloads/Calorie_Estimation/Data/vegies_n_fruits/Apple/4 (26).jpg,0
/home/prathamesh/Downloads/Calorie_Estimation/Data/vegies_n_fruits/Apple/1 (23).jpg,0
/home/prathamesh/Downloads/Calorie_Estimation/Data/vegies_n_fruits/Apple/3 (40).jpg,0
/home/prathamesh/Downloads/Calorie_Estimation/Data/vegies_n_fruits/Apple/5 (29).JPG,0
/home/prathamesh/Downloads/Calorie_Estimation/Data/vegies_n_fruits/Apple/1 (78).jpg,0
/home/prathamesh/Downloads/Calorie_Estimation/Data/vegies_n_fruits/Apple/4 (11).jpg,0
/home/prathamesh/Downloads/Calorie_Estimation/Data/vegies_n_fruits/Apple/4 (10).jpg,0
/home/prathamesh/Downloads/Calorie_Estimation/Data/vegies_n_fruits/Apple/6 (37).JPG,0
/home/prathamesh/Downloads/Calorie_Estimation/Data/vegies_n_fruits/Apple/3 (105).jpg,0
/home/prathamesh/Downloads/Calorie_Estimation/Data/vegies_n_fruits/Apple/1 (54).jpg,0
/home/prathamesh/Downloads/Calorie_Estimation/Data/vegies_n_fruits/Apple/4 (33).jpg,0
/home/prathamesh/Downloads/Calorie_Estimation/Data/vegies_n_fruits/Apple/3 (60).jpg,0
/home/prathamesh/Downloads/Calorie_Estimation/Data/vegies_n_fruits/Apple/5 (33).JPG,0
/home/prathamesh/Downloads/Calorie_Estimation/Data/vegies_n_fruits/Apple/3 (71).jpg,0
/home/prathamesh/Downloads/Calorie_Estimation/Data/vegies_n_fruits/Apple/5 (22).JPG,0
/home/prathamesh/Downloads/Calorie_Estimation/Data/vegies_n_fruits/Apple/3 (47).jpg,0
/home/prathamesh/Downloads/Calorie_Estimation/Data/vegies_n_fruits/Apple/6 (30).JPG,0
/home/prathamesh/Downloads/Calorie_Estimation/Data/vegies_n_fruits/Apple/4 (49).jpg,0
/home/prathamesh/Downloads/Calorie_Estimation/Data/vegies_n_fruits/Apple/5 (61).JPG,0
/home/prathamesh/Downloads/Calorie_Estimation/Data/vegies_n_fruits/Apple/5 (56).JPG,0
/home/prathamesh/Downloads/Calorie_Estimation/Data/vegies_n_fruits/Apple/1 (42).jpg,0
/home/prathamesh/Downloads/Calorie_Estimation/Data/vegies_n_fruits/Apple/2 (25).jpg,0
/home/prathamesh/Downloads/Calorie_Estimation/Data/vegies_n_fruits/Apple/3 (91).jpg,0
/home/prathamesh/Downloads/Calorie_Estimation/Data/vegies_n_fruits/Apple/5 (37).JPG,0
/home/prathamesh/Downloads/Calorie_Estimation/Data/vegies_n_fruits/Apple/1 (75).jpg,0
/home/prathamesh/Downloads/Calorie_Estimation/Data/vegies_n_fruits/Apple/2 (39).jpg,0
/home/prathamesh/Downloads/Calorie_Estimation/Data/vegies_n_fruits/Apple/2 (13).jpg,0
/home/prathamesh/Downloads/Calorie_Estimation/Data/vegies_n_fruits/Apple/3 (4).jpg,0
/home/prathamesh/Downloads/Calorie_Estimation/Data/vegies_n_fruits/Apple/3 (128).jpg,0
/home/prathamesh/Downloads/Calorie_Estimation/Data/vegies_n_fruits/Apple/3 (96).jpg,0
/home/prathamesh/Downloads/Calorie_Estimation/Data/vegies_n_fruits/Apple/2 (2).jpg,0
/home/prathamesh/Downloads/Calorie_Estimation/Data/vegies_n_fruits/Apple/5 (47).JPG,0
/home/prathamesh/Downloads/Calorie_Estimation/Data/vegies_n_fruits/Apple/5 (75).JPG,0
/home/prathamesh/Downloads/Calorie_Estimation/Data/vegies_n_fruits/Apple/5 (14).JPG,0
/home/prathamesh/Downloads/Calorie_Estimation/Data/vegies_n_fruits/Apple/6 (25).JPG,0
/home/prathamesh/Downloads/Calorie_Estimation/Data/vegies_n_fruits/Apple/1 (82).jpg,0
/home/prathamesh/Downloads/Calorie_Estimation/Data/vegies_n_fruits/Apple/1 (61).jpg,0
/home/prathamesh/Downloads/Calorie_Estimation/Data/vegies_n_fruits/Apple/5 (6).JPG,0
/home/prathamesh/Downloads/Calorie_Estimation/Data/vegies_n_fruits/Apple/3 (66).jpg,0
/home/prathamesh/Downloads/Calorie_Estimation/Data/vegies_n_fruits/Apple/apple 7.jpg,0
/home/prathamesh/Downloads/Calorie_Estimation/Data/vegies_n_fruits/Apple/3 (90).jpg,0
/home/prathamesh/Downloads/Calorie_Estimation/Data/vegies_n_fruits/Apple/4 (8).jpg,0
/home/prathamesh/Downloads/Calorie_Estimation/Data/vegies_n_fruits/Apple/4 (42).jpg,0
/home/prathamesh/Downloads/Calorie_Estimation/Data/vegies_n_fruits/Apple/3 (42).jpg,0
/home/prathamesh/Downloads/Calorie_Estimation/Data/vegies_n_fruits/Apple/2 (11).jpg,0
/home/prathamesh/Downloads/Calorie_Estimation/Data/vegies_n_fruits/Apple/3 (56).jpg,0
/home/prathamesh/Downloads/Calorie_Estimation/Data/vegies_n_fruits/Apple/2 (44).jpg,0
/home/prathamesh/Downloads/Calorie_Estimation/Data/vegies_n_fruits/Apple/3 (55).jpg,0
/home/prathamesh/Downloads/Calorie_Estimation/Data/vegies_n_fruits/Apple/5 (72).JPG,0
/home/prathamesh/Downloads/Calorie_Estimation/Data/vegies_n_fruits/Apple/5 (32).JPG,0
/home/prathamesh/Downloads/Calorie_Estimation/Data/vegies_n_fruits/Apple/3 (132).jpg,0
/home/prathamesh/Downloads/Calorie_Estimation/Data/vegies_n_fruits/Apple/5 (53).JPG,0
/home/prathamesh/Downloads/Calorie_Estimation/Data/vegies_n_fruits/Apple/4 (27).jpg,0
/home/prathamesh/Downloads/Calorie_Estimation/Data/vegies_n_fruits/Apple/3 (146).jpg,0
/home/prathamesh/Downloads/Calorie_Estimation/Data/vegies_n_fruits/Apple/1 (62).jpg,0
/home/prathamesh/Downloads/Calorie_Estimation/Data/vegies_n_fruits/Apple/5 (52).JPG,0
/home/prathamesh/Downloads/Calorie_Estimation/Data/vegies_n_fruits/Apple/3 (115).jpg,0
/home/prathamesh/Downloads/Calorie_Estimation/Data/vegies_n_fruits/Apple/4 (23).jpg,0
/home/prathamesh/Downloads/Calorie_Estimation/Data/vegies_n_fruits/Apple/5 (4).JPG,0
/home/prathamesh/Downloads/Calorie_Estimation/Data/vegies_n_fruits/Apple/3 (51).jpg,0
/home/prathamesh/Downloads/Calorie_Estimation/Data/vegies_n_fruits/Apple/1 (72).jpg,0
/home/prathamesh/Downloads/Calorie_Estimation/Data/vegies_n_fruits/Apple/2 (36).jpg,0
/home/prathamesh/Downloads/Calorie_Estimation/Data/vegies_n_fruits/Apple/3 (142).jpg,0
/home/prathamesh/Downloads/Calorie_Estimation/Data/vegies_n_fruits/Apple/3 (87).jpg,0
/home/prathamesh/Downloads/Calorie_Estimation/Data/vegies_n_fruits/Apple/6 (22).JPG,0
/home/prathamesh/Downloads/Calorie_Estimation/Data/vegies_n_fruits/Apple/2 (47).jpg,0
/home/prathamesh/Downloads/Calorie_Estimation/Data/vegies_n_fruits/Apple/5 (59).JPG,0
/home/prathamesh/Downloads/Calorie_Estimation/Data/vegies_n_fruits/Apple/5 (49).JPG,0
/home/prathamesh/Downloads/Calorie_Estimation/Data/vegies_n_fruits/Apple/5 (2).JPG,0
/home/prathamesh/Downloads/Calorie_Estimation/Data/vegies_n_fruits/Apple/1 (84).jpg,0
/home/prathamesh/Downloads/Calorie_Estimation/Data/vegies_n_fruits/Apple/3 (31).jpg,0
/home/prathamesh/Downloads/Calorie_Estimation/Data/vegies_n_fruits/Apple/6 (27).JPG,0
/home/prathamesh/Downloads/Calorie_Estimation/Data/vegies_n_fruits/Apple/5 (51).JPG,0
/home/prathamesh/Downloads/Calorie_Estimation/Data/vegies_n_fruits/Apple/2 (26).jpg,0
/home/prathamesh/Downloads/Calorie_Estimation/Data/vegies_n_fruits/Apple/1 (50).jpg,0
/home/prathamesh/Downloads/Calorie_Estimation/Data/vegies_n_fruits/Apple/4 (6).jpg,0
/home/prathamesh/Downloads/Calorie_Estimation/Data/vegies_n_fruits/Apple/5 (18).JPG,0
/home/prathamesh/Downloads/Calorie_Estimation/Data/vegies_n_fruits/Apple/4 (34).jpg,0
/home/prathamesh/Downloads/Calorie_Estimation/Data/vegies_n_fruits/Apple/3 (36).jpg,0
/home/prathamesh/Downloads/Calorie_Estimation/Data/vegies_n_fruits/Apple/4 (47).jpg,0
/home/prathamesh/Downloads/Calorie_Estimation/Data/vegies_n_fruits/Apple/3 (73).jpg,0
